time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-12T17:43:16.390Z,49.066,-122.16516666666666,-0.66,1.02,ml,8.0,251.0,0.0858,0.13,uw,uw62035066,2024-08-12T21:47:33.830Z,"6 km E of Abbotsford, Canada",explosion,2.19,31.61,0.1065996616377717,3.0,reviewed,uw,uw
2024-08-12T16:05:29.570Z,41.92583333333333,-119.616,0.9,1.75,ml,6.0,214.0,0.3229,0.31,uw,uw62035031,2024-08-12T21:53:16.220Z,"45 km E of Fort Bidwell, California",earthquake,1.41,3.33,0.1971379908475387,2.0,reviewed,uw,uw
2024-08-12T07:07:56.450Z,37.8426666666667,-113.094166666667,1.6,0.83,ml,6.0,279.0,0.2469,0.15,uu,uu80078256,2024-08-12T21:53:27.430Z,"9 km NW of Enoch, Utah",earthquake,1.06,10.83,0.244124599471123,2.0,reviewed,uu,uu
2024-08-12T14:32:32.300Z,45.92616666666667,-122.62016666666666,4.41,0.75,ml,8.0,294.0,0.1403,0.17,uw,uw62035001,2024-08-12T22:03:48.180Z,"8 km NNE of La Center, Washington",explosion,1.05,31.61,0.066876595090866,4.0,reviewed,uw,uw
2024-08-12T14:25:42.660Z,19.3995,-155.108833333333,0.46,1.78,md,11.0,153.0,0.006546,0.11,hv,hv74396261,2024-08-12T22:01:52.310Z,"7 km SSE of Fern Forest, Hawaii",earthquake,0.46,0.25,0.0207224367694741,2.0,reviewed,hv,hv
2024-08-12T08:47:08.670Z,48.471833333333336,-123.13133333333332,22.71,0.34,md,10.0,144.0,0.108,0.04,uw,uw62034966,2024-08-12T22:09:21.050Z,"10 km SW of Friday Harbor, Washington",earthquake,0.37,0.55,0.1028793478298831,8.0,reviewed,uw,uw
2024-08-12T01:49:36.590Z,52.1133333333333,-176.204,0.15,0.28,ml,4.0,299.0,0.06811,0.27,av,av93018164,2024-08-12T21:56:52.720Z,"39 km NE of Adak, Alaska",earthquake,1.51,2.61,0.338480258354864,4.0,reviewed,av,av
2024-08-12T22:24:55.260Z,38.84,-122.8,2.67,0.86,md,8.0,93.0,0.005295,0.02,nc,nc75047496,2024-08-12T22:26:33.582Z,"7 km WNW of Cobb, CA",earthquake,0.56,1.22000003,0.27,8.0,automatic,nc,nc
2024-08-12T22:23:03.410Z,38.82,-122.78,1.55,0.9,md,9.0,96.0,0.0147,0.02,nc,nc75047486,2024-08-12T22:24:38.765Z,"5 km NNW of The Geysers, CA",earthquake,0.41,1.12,0.28,10.0,automatic,nc,nc
2024-08-12T22:22:32.810Z,38.83,-122.8,1.98,1.62,md,28.0,53.0,0.0064,0.03,nc,nc75047481,2024-08-12T22:24:08.318Z,"7 km WNW of Cobb, CA",earthquake,0.18,0.330000013,0.14,32.0,automatic,nc,nc
2024-08-12T22:21:19.690Z,38.82,-122.78,1.72,1.09,md,14.0,58.0,0.002312,0.03,nc,nc75047476,2024-08-12T22:22:58.593Z,"5 km NNW of The Geysers, CA",earthquake,0.25,0.430000007,0.27,16.0,automatic,nc,nc
2024-08-12T22:20:04.700Z,38.81,-122.82,-0.91,0.87,md,7.0,161.0,0.01746,0.08,nc,nc75047471,2024-08-12T22:21:43.335Z,"7 km NW of The Geysers, CA",earthquake,0.53,2.25,0.21,8.0,automatic,nc,nc
2024-08-12T22:16:33.270Z,38.83,-122.8,1.81,1.34,md,24.0,45.0,0.005576,0.02,nc,nc75047466,2024-08-12T22:18:08.840Z,"6 km WNW of Cobb, CA",earthquake,0.18,0.330000013,0.14,26.0,automatic,nc,nc
2024-08-12T22:15:31.050Z,38.84,-122.8,1.9,1.48,md,28.0,43.0,0.006148,0.03,nc,nc75047461,2024-08-12T22:17:08.592Z,"7 km WNW of Cobb, CA",earthquake,0.17,0.370000005,0.13,29.0,automatic,nc,nc
2024-08-12T08:12:12.590Z,48.79866666666667,-121.82266666666666,1.95,1.07,ml,5.0,148.0,0.06443,0.39,uw,uw62034956,2024-08-12T22:25:07.370Z,"13 km SE of Glacier, Washington",earthquake,2.76,2.41,0.1446781608245363,4.0,reviewed,uw,uw
2024-08-12T22:37:16.310Z,38.82,-122.78,1.43,1.45,md,27.0,47.0,0.002512,0.04,nc,nc75047526,2024-08-12T22:38:52.877Z,"5 km NNW of The Geysers, CA",earthquake,0.18,0.289999992,0.17,30.0,automatic,nc,nc
2024-08-12T22:34:47.580Z,38.81,-122.78,1.52,1.4,md,20.0,61.0,0.001777,0.04,nc,nc75047521,2024-08-12T22:36:23.695Z,"5 km NNW of The Geysers, CA",earthquake,0.21,0.349999994,0.12,20.0,automatic,nc,nc
2024-08-12T04:56:38.620Z,51.8635,-177.864166666667,7.23,0.22,ml,5.0,212.0,0.05798,0.06,av,av93227741,2024-08-12T22:35:31.200Z,"84 km W of Adak, Alaska",earthquake,0.5,0.83,0.18865253797789,5.0,reviewed,av,av
2024-08-12T22:39:44.130Z,35.0834999,-119.1044998,11.97,2.57,ml,56.0,40.0,0.03009,0.3,ci,ci40699487,2024-08-12T22:48:09.040Z,"22 km NW of Grapevine, CA",earthquake,0.32,0.9,0.324,25.0,automatic,ci,ci
2024-08-12T22:37:39.680Z,35.1011658,-119.1138306,7.01,1.65,ml,18.0,75.0,0.229,0.18,ci,ci40699471,2024-08-12T22:39:44.372Z,"24 km NW of Grapevine, CA",earthquake,0.4,2.02,0.235,18.0,automatic,ci,ci
2024-08-12T21:29:59.620Z,37.7538333333333,-113.208333333333,9.27,0.85,ml,8.0,107.0,0.129,0.11,uu,uu80078331,2024-08-12T22:48:58.080Z,"15 km WNW of Cedar City, Utah",earthquake,0.79,2.09,0.104245349269006,4.0,reviewed,uu,uu
2024-08-12T18:28:32.920Z,37.7563333333333,-113.2145,9.71,1.69,ml,13.0,58.0,0.1343,0.17,uu,uu80078296,2024-08-12T22:48:40.780Z,"16 km WNW of Cedar City, Utah",earthquake,0.47,1.82,0.119256483805348,10.0,reviewed,uu,uu
2024-08-12T18:26:57.010Z,37.7596666666667,-113.225166666667,9.39,1.93,ml,16.0,48.0,0.1352,0.2,uu,uu80078291,2024-08-12T22:40:40.650Z,"17 km WNW of Cedar City, Utah",earthquake,0.39,1.5,0.0950556108283631,14.0,reviewed,uu,uu
2024-08-12T04:17:08.380Z,61.1668333333333,-152.459666666667,0.64,-0.44,ml,5.0,256.0,0.06482,0.06,av,av93018169,2024-08-12T22:43:09.120Z,"72 km W of Tyonek, Alaska",earthquake,0.56,2.57,0.110567605491045,5.0,reviewed,av,av
